School,EarlyPay
Harvey Mudd College,85600
Massachusetts Institute of Technology,83600
United States Naval Academy,78600
Stanford University,76500
California Institute of Technology,83400
Albany College of Pharmacy and Health Sciences,80200
Harvard University,72600
United States Military Academy,79300
Princeton University,72700
SUNY Maritime College,73300
Colorado School of Mines,74100
Babson College,69300
Santa Clara University,66800
Stevens Institute of Technology,73600
Dartmouth College,68900
Colgate University,65000
United States Air Force Academy,74000
United States Merchant Marine Academy,80800
University of Pennsylvania,70100
Lehigh University,67200
Williams College,64000
Yale University,68300
Webb Institute,79100
Franklin W Olin College of Engineering,81900
Rice University,69200
Duke University,68700
Worcester Polytechnic Institute,71700
University of California-Berkeley,68300
Georgia Institute of Technology-Main Campus,70800
Rensselaer Polytechnic Institute,69600
Brown University,65400
University of Notre Dame,64700
Haverford College,56100
Carnegie Mellon University,73600
Washington and Lee University,63200
Rose-Hulman Institute of Technology,73400
Swarthmore College,63800
California State University Maritime Academy,67500
Cooper Union for the Advancement of Science and Art,65900
Georgetown University,63700
Clarkson University,65100
Columbia University in the City of New York,69200
Claremont McKenna College,66800
Cornell University,68200
University of California-San Diego,61300
Bucknell University,64800
Manhattan College,62600
Charles R Drew University of Medicine and Science,82900
Amherst College,62300
Samuel Merritt University,91400
The King's University,61900
University of Southern California,62000
Union College (New York),60900
University of California-Irvine,57700
Virginia Military Institute,63900
New Mexico Institute of Mining and Technology,62500
University of California-Santa Barbara,57300
Lafayette College,64200
New Jersey Institute of Technology,62800
College of the Holy Cross,58800
New York University,60800
Tufts University,63200
Hobart William Smith Colleges,53600
Kettering University,69000
MCPHS University,63700
Bates College,57500
University of Virginia-Main Campus,62300
Pomona College,60500
Maine Maritime Academy,66700
George Washington University,59000
Fairfield University,59600
Wake Forest University,58200
University of California-Los Angeles,60000
Vanderbilt University,63800
Brandeis University,58000
California Polytechnic State University-San Luis Obispo,63500
Villanova University,63600
Boston College,61600
University of Chicago,61600
University of the Sciences,55900
Missouri University of Science and Technology,66700
Loyola Marymount University,56000
Davidson College,55000
Bentley University,64600
Wabash College,60200
Bowdoin College,59700
Texas A & M University-College Station,59000
Illinois Institute of Technology,62800
Northwestern University,61500
Embry-Riddle Aeronautical University-Prescott,63500
Loyola University Maryland,57500
Boston University,58900
Carleton College,56100
Franklin and Marshall College,54600
Wesleyan University,59300
Massachusetts Maritime Academy,67200
Hampden-Sydney College,55800
Fordham University,56400
Case Western Reserve University,65100
University of Illinois at Urbana-Champaign,61000
University of California-Davis,59400
South Dakota School of Mines and Technology,65800
Menlo College,59100
Gettysburg College,55900
College of William and Mary,57100
Hofstra University,55000
Johns Hopkins University,65500
Washington University in St Louis,62700
Virginia Polytechnic Institute and State University,60900
Middlebury College,58400
San Jose State University,61300
Drexel University,60700
University of Washington-Seattle Campus,59900
Emory University,59900
Yeshiva University,61700
Rutgers University-New Brunswick,57800
Milwaukee School of Engineering,65000
California State Polytechnic University-Pomona,56000
Trinity College,57600
Wentworth Institute of Technology,61300
Kenyon College,52700
University of Colorado Boulder,55600
Saint Mary's College of California,57700
The University of Texas at Austin,59100
Seattle University,59400
Binghamton University,58900
Occidental College,54100
Saint Johns University,57400
United States Coast Guard Academy,66400
University of San Francisco,58600
Capitol Technology University,65700
Southern Methodist University,57200
University of San Diego,56600
University of Rochester,58900
University of the Pacific,57700
Michigan Technological University,64600
Stony Brook University,57000
Wittenberg University,49800
Reed College,53900
University of Maryland-College Park,60000
St John's University-New York,53200
University of California-Riverside,54000
Brigham Young University-Provo,57400
Whitman College,52200
University of Richmond,57900
Tulane University of Louisiana,54600
University of St Thomas (Minnesota),55600
St. John's College (Maryland),54900
Bryant University,58700
Barnard College,56800
Westmont College,52400
Denison University,52400
Miami University-Oxford,55400
Gonzaga University,56300
University of Michigan-Ann Arbor,62000
Lake Forest College,53700
CUNY Bernard M Baruch College,57100
Seattle Pacific University,51500
Rhodes College,49400
Providence College,56900
Pace University-New York,57700
Golden Gate University-San Francisco,58900
University of Massachusetts-Lowell,57400
Citadel Military College of South Carolina,58800
Montana Tech of the University of Montana,61900
La Salle University,53700
American University,53700
Iona College,53800
Lawrence Technological University,56700
Marquette University,56400
George Mason University,57200
The New School,52100
Catholic University of America,55700
Embry-Riddle Aeronautical University-Daytona Beach,61900
Clark University,50200
Northeastern University,61200
Polytechnic University of Puerto Rico-Miami,61500
Purdue University-Main Campus,60200
University of Delaware,56700
Saint Joseph's University,55300
Wagner College,56400
Syracuse University,56200
Pratt Institute-Main,52100
Stonehill College,54000
New York Institute of Technology,54300
Pepperdine University,56400
North Carolina State University at Raleigh,55800
Bradley University,54100
University of California-Santa Cruz,56100
University of Dayton,56100
St Lawrence University,53800
Texas Tech University,55700
California State University-Chico,55100
University of Washington-Bothell Campus,58200
Clemson University,56300
Trinity University,53400
Ohio Wesleyan University,48800
Albion College,50200
Wellesley College,56600
DePaul University,53800
SUNY at Albany,51500
University of Portland,57400
Siena College,52100
University of Tulsa,58500
Ithaca College,50600
James Madison University,55800
Pennsylvania State University-Main Campus,57300
Furman,49600
Merrimack College,54700
Lawrence University,48500
DePauw University,54900
Auburn University,52800
San Diego State University,53400
Hampshire College,44800
Ursinus College,52100
University of Connecticut,57700
Willamette University,49900
Rochester Institute of Technology,60400
Bismarck State College,61100
University of Puerto Rico-Mayaguez,62800
Sewanee-The University of the South,51100
University of Maryland-Baltimore County,56800
Washington State University,54600
West Virginia University Institute of Technology,55800
Saint Michael's College,51200
Resurrection University,64000
University of Illinois at Chicago,55000
SUNY Downstate Medical Center,67100
Florida Institute of Technology,57600
St Olaf College,51900
University of Massachusetts-Amherst,55800
Colby College,57800
University of Wisconsin-Madison,55700
Baylor University,53900
Art Center College of Design,62800
Muhlenberg College,51700
Fashion Institute of Technology,52200
Butler University,50000
University of Redlands,53300
University of Utah,53400
California State University-Long Beach,51100
University of Denver,54000
