displayName,rank,overall,business,engineer,tuition,enrollment,aidPercent,costWithAid,control
Princeton University,1,100,None,4.1,47140,5400,60,16793,private
Harvard University,2,98,None,3.6,48949,6710,55,16338,private
University of Chicago,3,96,None,None,54825,5941,42,27767,private
Yale University,3,96,None,3.4,51400,5472,50,18385,private
Columbia University,5,95,None,3.8,57208,6113,48,21041,private
Massachusetts Institute of Technology,5,95,4.6,4.9,49892,4524,58,20331,private
Stanford University,5,95,None,4.8,49617,7034,47,19296,private
University of Pennsylvania,8,93,4.8,3.6,53534,10019,47,25441,private
Duke University,9,92,None,3.7,53744,6609,41,23374,private
California Institute of Technology,10,91,None,4.6,49908,979,51,23973,private
Dartmouth College,11,90,None,3.2,52950,4310,50,23312,private
Johns Hopkins University,11,90,None,3.9,52170,6117,45,30067,private
Northwestern University,11,90,None,4,52678,8353,43,31087,private
Brown University,14,86,None,3.3,53419,6926,41,24482,private
Cornell University,14,86,4.2,4.2,52853,14566,44,28068,private
Rice University,14,86,None,3.7,45608,3893,37,23996,private
Vanderbilt University,14,86,None,3.4,47664,6871,46,23323,private
University of Notre Dame,18,85,4.1,3.3,51505,8530,47,29653,private
Washington University in St. Louis,18,85,4,3.3,51533,7540,41,29245,private
Georgetown University,20,80,3.8,None,52300,7453,34,29667,private
Emory University,21,78,3.8,None,49392,6861,42,24264,private
University of California--Berkeley,21,78,4.5,4.7,42112,29311,23,49614,public
University of California--Los Angeles,21,78,None,3.8,41270,30873,15,42896,public
University of Southern California,21,78,4.1,3.6,54259,18794,33,33112,private
Carnegie Mellon University,25,76,4.2,4.3,53910,6673,40,33550,private
University of Virginia,25,76,4.2,3.4,46975,16331,28,28079,public
Wake Forest University,27,75,3.4,None,51400,4955,30,24241,private
University of Michigan--Ann Arbor,28,74,4.5,4.4,47476,28983,25,32856,public
Tufts University,29,72,None,3,54318,5508,34,27034,private
New York University,30,71,4.3,2.9,50464,26135,46,41783,private
University of North Carolina--Chapel Hill,30,71,4.2,None,34588,18523,41,17815,public
Boston College,32,70,3.6,None,53346,9309,35,30170,private
College of William and Mary,32,70,3.3,None,43099,6276,21,42153,public
Brandeis University,34,68,2.9,None,53582,3608,47,29288,private
Georgia Institute of Technology,34,68,3.5,4.6,33014,15489,15,39518,public
University of Rochester,34,68,None,2.7,52020,6386,51,28476,private
Boston University,37,67,3.4,3.1,52082,17944,36,34539,private
Case Western Reserve University,37,67,3.5,3.3,47500,5152,48,35248,private
University of California--Santa Barbara,37,67,None,3.4,42423,21574,8,44849,public
Northeastern University,40,66,3.1,3.1,49497,13473,34,38521,private
Tulane University,40,66,3.2,2.4,52960,6377,31,35111,private
Rensselaer Polytechnic Institute,42,65,3.1,3.5,52305,6265,61,35125,private
University of California--Irvine,42,65,3.5,3.3,43530,27331,6,43506,public
University of California--San Diego,42,65,3.2,3.7,44197,28127,7,42933,public
University of Florida,42,65,3.6,3.4,28658,34554,20,36825,public
Lehigh University,46,64,2.9,3.2,50740,5080,38,25376,private
Pepperdine University,46,64,3.2,None,51992,3542,51,32416,private
University of California--Davis,46,64,None,3.5,42396,29546,9,44075,public
University of Miami,46,64,3.1,2.5,48484,10849,33,34479,private
University of Wisconsin--Madison,46,64,3.8,3.9,34782,31710,16,36113,public
Villanova University,46,64,3.2,2.5,51434,6999,44,35459,private
