UniversityName,tuition,patent,score,year
Syracuse University,46755,338,45.34,2014
Syracuse University,46755,392,44.91,2015
Brown University,53419,101,47.91,2012
Brown University,53419,101,46.43,2013
Brown University,53419,170,52.92,2014
Brown University,53419,200,52.01,2015
Michigan Technological University,32318,481,44.53,2014
Michigan Technological University,32318,581,44.25,2015
Rice University,45608,101,48.76,2012
Rice University,45608,81,44.53,2013
Rice University,45608,61,50.94,2014
Rice University,45608,76,49.73,2015
University of Connecticut,36948,204,47.35,2014
University of Connecticut,36948,186,47.06,2015
University of Florida,28658,2,48.8,2012
University of Florida,28658,9,48.93,2013
University of Florida,28658,8,54.76,2014
University of Florida,28658,5,54.18,2015
Wright State University,17350,737,44.49,2014
Wright State University,17350,824,44.2,2015
University of Massachusetts--Boston,32985,737,44.45,2014
University of Massachusetts--Boston,32985,824,44.21,2015
Purdue University--West Lafayette,28804,19,51.66,2012
Purdue University--West Lafayette,28804,36,51.59,2013
Purdue University--West Lafayette,28804,20,55.67,2014
Purdue University--West Lafayette,28804,28,56.39,2015
University of Texas--Dallas,33654,307,49.47,2014
University of Texas--Dallas,33654,313,49.05,2015
University of Colorado--Boulder,35079,101,50.68,2012
University of Colorado--Boulder,35079,101,51.16,2013
University of Colorado--Boulder,35079,128,54.5,2014
University of Colorado--Boulder,35079,133,54.62,2015
University of Memphis,21413,338,44.62,2014
University of Memphis,21413,394,44.3,2015
Louisiana State University--Baton Rouge,28051,481,47.67,2014
Louisiana State University--Baton Rouge,28051,458,45.61,2015
University of Alabama--Huntsville,21480,737,44.6,2014
University of Alabama--Huntsville,21480,805,44.3,2015
University of Montana,24943,552,44.81,2014
Florida International University,18956,637,44.73,2014
Florida International University,18956,585,44.5,2015
University of Idaho,23812,373,44.73,2014
University of Idaho,23812,469,44.42,2015
Louisiana Tech University,18438,737,44.73,2014
Louisiana Tech University,18438,792,44.47,2015
University of Tennessee,31160,481,47.45,2014
University of Tennessee,31160,449,46.96,2015
Rutgers University--New Brunswick,30023,96,51.09,2013
Rutgers University--New Brunswick,30023,54,60,2014
Rutgers University--New Brunswick,30023,61,55.23,2015
Western Michigan University,14699,737,44.3,2014
University of South Florida,17324,51,48.65,2014
University of South Florida,17324,70,47.66,2015
University of Wisconsin--Madison,34782,21,59.66,2012
University of Wisconsin--Madison,34782,27,64.51,2015
University of Pittsburgh,30642,50,55.63,2015
University of Washington,35538,101,52.25,2012
University of Washington,35538,51,55.79,2013
University of Washington,35538,54,60.28,2014
University of Washington,35538,40,60.61,2015
University of California--Riverside,41931,259,47.53,2014
University of California--Riverside,41931,194,47.13,2015
University of Rochester,52020,62,49.51,2012
University of Rochester,52020,51,46.44,2013
University of Rochester,52020,76,53.06,2014
University of Rochester,52020,64,52.03,2015
University of Wisconsin--Milwaukee,19851,737,44.99,2014
University of Nebraska--Omaha,22035,737,45.22,2014
University of California--Irvine,43530,65,50.64,2012
University of California--Irvine,43530,101,47.52,2013
University of California--Irvine,43530,138,52.93,2014
University of California--Irvine,43530,162,51.51,2015
University of Missouri--Kansas City,25999,687,44.61,2015
University of Alaska--Fairbanks,23534,737,44.77,2014
University of Kentucky,28046,338,46.9,2014
University of Kentucky,28046,447,46.37,2015
Southern Methodist University,52498,737,48.69,2014
Southern Methodist University,52498,824,48.99,2015
University of Hawaii--Manoa,33764,373,45.22,2014
University of Hawaii--Manoa,33764,490,44.82,2015
Temple University,27266,194,45.59,2014
Temple University,27266,211,45.29,2015
Brigham Young University--Provo,5460,149,45.47,2014
Brigham Young University--Provo,5460,134,45.15,2015
Boston University,52082,101,48.31,2012
Boston University,52082,100,48.96,2013
Boston University,52082,227,53.96,2014
Boston University,52082,135,53.43,2015
Emory University,49392,46,45.47,2012
Emory University,49392,81,44.53,2013
Emory University,49392,45,53.01,2014
Emory University,49392,55,51.85,2015
Texas Tech University,23011,552,45.19,2014
Texas Tech University,23011,809,44.87,2015
Mississippi State University,22358,481,45.11,2014
Mississippi State University,22358,566,44.5,2015
University of Central Florida,22467,149,45.55,2014
University of Central Florida,22467,159,45.18,2015
San Diego State University,19340,481,45.88,2014
San Diego State University,19340,509,45.41,2015
Washington State University,25817,170,46.4,2014
Washington State University,25817,298,45.29,2015
Wake Forest University,51400,128,49.46,2014
Wake Forest University,51400,124,48.52,2015
Baylor University,43790,637,45.21,2014
Baylor University,43790,630,44.59,2015
Oregon State University,29457,338,46.82,2014
Oregon State University,29457,389,46.42,2015
Yeshiva University,42000,138,48.67,2014
Yeshiva University,42000,128,48.11,2015
Florida Institute of Technology,41240,737,44.44,2014
Florida Institute of Technology,41240,871,44.21,2015
University of Cincinnati,26334,204,48.6,2014
University of Cincinnati,26334,263,48.56,2015
New York University,50464,62,60.55,2012
New York University,50464,51,63.99,2013
New York University,50464,48,72.29,2014
New York University,50464,43,68.39,2015
University of Michigan--Ann Arbor,47476,8,53.72,2012
University of Michigan--Ann Arbor,47476,6,55.77,2013
University of Michigan--Ann Arbor,47476,19,68.27,2014
University of Michigan--Ann Arbor,47476,12,68.36,2015
Harvard University,48949,5,100,2012
Harvard University,48949,7,100,2013
Harvard University,48949,2,100,2014
Harvard University,48949,3,100,2015
Florida Atlantic University,21595,737,44.42,2014
Florida Atlantic University,21595,714,44.17,2015
Tulane University,52960,194,47.34,2014
Tulane University,52960,258,46.31,2015
Colorado School of Mines,37436,637,45.74,2014
Colorado School of Mines,37436,690,45.39,2015
Drexel University,52002,89,46.89,2014
Drexel University,52002,91,46.43,2015
Boston College,53346,338,46.06,2014
Boston College,53346,386,45.65,2015
Marquette University,39900,737,44.64,2014
Marquette University,39900,682,44.34,2015
Howard University,25697,204,44.72,2014
Howard University,25697,296,44.33,2015
