displayName,rank,overall,business,engineer,tuition,enrollment,aidPercent,costWithAid,,debt,salary,monthToPay,range
Princeton University,1,100,None,4.1,47140,5400,60,16793,private,9005,72700,5.945529574,30
Harvard University,2,98,None,3.6,48949,6710,55,16338,private,15114,72600,9.992727273,30
University of Chicago,3,96,None,None,54825,5941,42,27767,private,23401,61600,18.23454545,30
Yale University,3,96,None,3.4,51400,5472,50,18385,private,13050,68300,9.171303075,30
Massachusetts Institute of Technology,5,95,4.6,4.9,49892,4524,58,20331,private,20048,83600,11.5108134,30
Stanford University,5,95,None,4.8,49617,7034,47,19296,private,20205,76500,12.67764706,30
University of Pennsylvania,8,93,4.8,3.6,53534,10019,47,25441,private,23224,70100,15.90231098,30
Duke University,9,92,None,3.7,53744,6609,41,23374,private,23819,68700,16.64209607,30
California Institute of Technology,10,91,None,4.6,49908,979,51,23973,private,16777,83400,9.655827338,30
Dartmouth College,11,90,None,3.2,52950,4310,50,23312,private,19571,68900,13.63436865,30
Northwestern University,11,90,None,4,52678,8353,43,31087,private,19718,61500,15.38965854,30
Brown University,14,86,None,3.3,53419,6926,41,24482,private,25471,65400,18.69431193,30
Cornell University,14,86,4.2,4.2,52853,14566,44,28068,private,25542,68200,17.97677419,30
Rice University,14,86,None,3.7,45608,3893,37,23996,private,26556,69200,18.42034682,30
Vanderbilt University,14,86,None,3.4,47664,6871,46,23323,private,23973,63800,18.03611285,30
Washington University in St Louis,18,85,4,3.3,51533,7540,41,29245,private,22592,62700,17.295311,30
Georgetown University,20,80,3.8,None,52300,7453,34,29667,private,23387,63700,17.62285714,30
Emory University,21,78,3.8,None,49392,6861,42,24264,private,28262,59900,22.64734558,30
University of California Berkeley,21,78,4.5,4.7,42112,29311,23,49614,public,18197,68300,12.78852123,30
University of California Los Angeles,21,78,None,3.8,41270,30873,15,42896,public,22013,60000,17.6104,30
Wake Forest University,27,75,3.4,None,51400,4955,30,24241,private,35434,58200,29.22391753,30
Tufts University,29,72,None,3,54318,5508,34,27034,private,27367,63200,20.78506329,30
Boston College,32,70,3.6,None,53346,9309,35,30170,private,20481,61600,15.95922078,30
Boston University,37,67,3.4,3.1,52082,17944,36,34539,private,40089,58900,32.6701528,30
