displayName,sat,act,state,lat,lng,rank,hsGPA,acceptRate,overall,business,engineer,tuition,enrollment,aidPercent,costWithAid,control
Princeton University,1400,32,NJ,40.35,-74.65,1,3.9,7,100,None,4.1,47140,5400,60,16793.0,private
Harvard University,1430,32,MA,42.37,-71.11,2,4,5,98,None,3.6,48949,6710,55,16338.0,private
University of Chicago,1450,32,IL,41.83,-87.68,3,4,8,96,None,None,54825,5941,42,27767.0,private
Yale University,1420,32,CT,41.31,-72.92,3,None,6,96,None,3.4,51400,5472,50,18385.0,private
Columbia University,1430,32,NY,40.71,-73.99,5,None,6,95,None,3.8,57208,6113,48,21041.0,private
Massachusetts Institute of Technology,1460,33,MA,42.37,-71.11,5,None,8,95,4.6,4.9,49892,4524,58,20331.0,private
Stanford University,1380,31,CA,37.41,-122.17,5,None,5,95,None,4.8,49617,7034,47,19296.0,private
University of Pennsylvania,1380,32,PA,39.95,-75.16,8,3.9,9,93,4.8,3.6,53534,10019,47,25441.0,private
Duke University,1380,31,NC,35.98,-78.91,9,None,11,92,None,3.7,53744,6609,41,23374.0,private
California Institute of Technology,1510,34,CA,34.13,-118.12,10,None,8,91,None,4.6,49908,979,51,23973.0,private
Dartmouth College,1350,30,NH,43.7,-72.27,11,None,11,90,None,3.2,52950,4310,50,23312.0,private
Johns Hopkins University,1420,32,MD,39.3,-76.61,11,3.9,12,90,None,3.9,52170,6117,45,30067.0,private
Northwestern University,1400,32,IL,42.04,-87.68,11,None,11,90,None,4.0,52678,8353,43,31087.0,private
Brown University,1370,31,RI,41.82,-71.41,14,None,9,86,None,3.3,53419,6926,41,24482.0,private
Cornell University,1330,31,NY,42.44,-76.5,14,None,14,86,4.2,4.2,52853,14566,44,28068.0,private
Rice University,1410,32,TX,29.76,-95.38,14,None,15,86,None,3.7,45608,3893,37,23996.0,private
Vanderbilt University,1420,32,TN,36.17,-86.78,14,3.8,11,86,None,3.4,47664,6871,46,23323.0,private
University of Notre Dame,1350,32,IN,41.7,-86.24,18,None,19,85,4.1,3.3,51505,8530,47,29653.0,private
Washington University in St. Louis,1400,32,MO,38.63,-90.24,18,None,17,85,4.0,3.3,51533,7540,41,29245.0,private
Georgetown University,1320,30,DC,38.89,-77.03,20,None,17,80,3.8,None,52300,7453,34,29667.0,private
Emory University,1290,30,GA,33.79,-84.32,21,3.7,25,78,3.8,None,49392,6861,42,24264.0,private
University of California--Berkeley,1300,29,CA,37.86,-122.25,21,3.9,16,78,4.5,4.7,42112,29311,23,49614.0,public
University of California--Los Angeles,1160,25,CA,34.07,-118.44,21,3.9,18,78,None,3.8,41270,30873,15,42896.0,public
University of Southern California,1280,30,CA,34.01,-118.28,21,3.7,17,78,4.1,3.6,54259,18794,33,33112.0,private
Carnegie Mellon University,1380,31,PA,40.43,-79.97,25,3.8,22,76,4.2,4.3,53910,6673,40,33550.0,private
University of Virginia,1240,29,VA,38.03,-78.48,25,4,30,76,4.2,3.4,46975,16331,28,28079.0,public
Wake Forest University,1240,28,NC,36.1,-80.24,27,None,30,75,3.4,None,51400,4955,30,24241.0,private
University of Michigan--Ann Arbor,1310,29,MI,42.27,-83.73,28,3.8,29,74,4.5,4.4,47476,28983,25,32856.0,public
Tufts University,1370,31,MA,42.42,-71.1,29,None,14,72,None,3.0,54318,5508,34,27034.0,private
